question_id,tag_id
5259255,NA
571893,NA
1626501,NA
878186,"2,102"
878124,NA
1002902,NA
4720903,NA
4424269,NA
2890425,104
3613075,NA
1001743,"2,102,104"
526601,NA
2931468,104
858298,NA
872443,NA
1148705,105
1000562,NA
868900,102
286039,104
69755,NA
871813,"2,102"
2847030,NA
2885914,105
1586766,NA
70502,NA
2439338,NA
264495,2
670055,NA
266185,NA
1875721,NA
416750,NA
4352083,NA
2209617,2
3672908,NA
1832653,NA
5029301,NA
4431258,NA
2242723,NA
842095,NA
4544573,NA
3276933,NA
348417,NA
4570932,NA
2222351,NA
2885976,2
3478046,NA
1105054,NA
4540561,NA
3401200,NA
264544,NA
3122998,2
2209781,NA
264547,NA
264780,NA
264556,NA
3122976,NA
605399,NA
1548779,NA
2099571,NA
418538,2
788853,NA
4420554,NA
4279548,NA
881571,NA
5201941,NA
3148154,104
417736,NA
999610,105
3116228,NA
3148177,104
583439,NA
3116318,NA
242638,NA
3148202,104
3116349,NA
2657126,NA
583580,NA
344603,NA
2198780,NA
3318232,NA
4792708,NA
3123025,NA
412513,NA
390143,NA
714513,NA
1837548,NA
526832,104
870140,NA
2083578,4
3148281,104
3608915,NA
4481659,NA
279684,NA
1172099,NA
4024421,102
3125121,NA
2361868,NA
4196880,NA
4750173,NA
3906209,NA
3148306,105
3237216,"2,102,104"
2526792,NA
3934745,NA
3716178,NA
822784,NA
629869,NA
691496,NA
880022,"2,102"
600118,105
3148324,102
5127059,NA
4727552,NA
3116435,NA
878162,"2,102"
265306,108
4221370,NA
4000064,NA
877746,102
618315,NA
264759,104
2927650,NA
994453,105
789051,NA
4323723,NA
3148359,104
1837641,105
3116488,NA
4018734,102
2226082,NA
5270526,NA
880713,"2,104"
4849670,NA
963525,NA
4016539,NA
5098485,NA
986088,NA
3148372,104
3116500,NA
339244,NA
4018770,NA
4564302,NA
3148391,2
2597469,NA
3237221,"2,102,104"
567785,NA
3116516,NA
2412444,NA
4280473,NA
4018789,102
4334189,NA
3051477,NA
3934843,NA
227285,NA
3044516,104
4792707,NA
4018817,102
3315896,NA
4334220,NA
5245581,NA
279112,NA
2266257,NA
4631667,NA
3137605,NA
264859,104
1994694,NA
4018836,102
389849,NA
3362514,104
3177833,104
2931442,"2,104"
264865,2
697192,NA
1000151,102
3116549,NA
5204170,NA
2836433,NA
2870930,104
4047082,NA
4707828,NA
4421715,NA
2624218,2
2222628,NA
1353934,NA
338079,NA
3114008,NA
264956,NA
3139271,NA
2099967,4
266675,"2,104"
3990848,NA
3672834,4
3295473,"2,104"
4843150,NA
4822142,NA
3114057,NA
3324717,NA
2099979,4
4743149,NA
4269624,NA
2099985,4
3302407,"2,102"
663032,NA
718123,104
4983573,NA
3139235,NA
2099989,4
2099996,4
2569908,4
2833263,NA
2849894,NA
2882413,NA
2176824,NA
1575711,NA
2465652,NA
2715902,"1,102,101"
3114096,NA
2911591,104
3301885,"2,102"
2100006,4
265004,NA
877811,"2,102"
827748,NA
1335926,"2,102"
736895,NA
3139415,NA
2100028,4
2222941,NA
987066,NA
996623,NA
2100032,4
3114147,NA
3602209,104
533954,NA
1848120,NA
4018867,102
5046572,NA
2417617,NA
403176,NA
2391078,NA
4018911,102
4335036,NA
4334283,NA
522687,NA
523174,104
2886510,NA
615751,NA
4019007,102
3148667,NA
4970636,NA
2362247,NA
6840,NA
4019031,102
3148684,104
3313570,2
3875180,NA
3114230,NA
2261606,"2,105"
4895178,NA
3148718,104
609773,108
634625,NA
266462,NA
3114248,NA
528319,NA
2712292,"1,102,101,104"
2717005,"1,101,102"
4000149,NA
2886618,NA
4578690,NA
3114384,NA
3114413,NA
4983817,NA
265247,NA
283051,NA
2357623,NA
265239,NA
2845600,2
2928758,NA
789528,NA
3227678,102
3114435,NA
3116818,NA
265265,NA
877916,"2,102"
754569,NA
265273,NA
3148866,104
3243704,102
2382024,NA
3114448,NA
928945,NA
2329880,NA
242758,NA
3717848,104
265396,NA
2363532,NA
289683,NA
2535718,NA
350997,NA
4018626,104
265313,NA
3298471,NA
4019090,102
1513165,NA
2156363,NA
1730440,NA
1576046,NA
926251,NA
881024,NA
1651512,NA
3114480,NA
2886768,NA
1576049,105
282759,NA
4019117,102
896802,105
906106,NA
910690,NA
2886777,NA
4019130,102
1000815,NA
229121,NA
867188,"2,102"
2086195,NA
3684672,NA
4980527,NA
4019139,102
2367203,NA
3114498,NA
3935390,NA
4019152,102
4019165,102
625505,NA
1000710,NA
3571400,104
527563,104
3452837,NA
1984475,NA
2036660,NA
225418,NA
225692,NA
527570,104
265429,NA
3114538,NA
2955299,105
3116929,NA
527611,NA
2173632,NA
265470,NA
4018557,102
265487,NA
3289467,104
2126343,NA
789780,NA
4061336,104
2368504,NA
954276,NA
265502,NA
3116972,NA
2150506,NA
916731,NA
2878411,NA
236214,NA
366373,104
3114558,NA
877805,NA
1002123,"2,102,104"
1838400,NA
872397,NA
4018586,102
1951437,NA
1576283,NA
4788836,NA
876162,NA
4423235,NA
632968,NA
2799086,NA
2504456,NA
527733,NA
3341923,"2,102"
2498565,NA
2025231,NA
3114567,NA
2178950,2
877880,NA
4303278,NA
2814824,NA
1576329,NA
3117033,NA
1576336,NA
4734579,NA
2407527,NA
2256980,NA
4753597,NA
4018612,102
686830,104
3114600,NA
3125591,NA
265652,NA
3114624,NA
3673541,NA
1052103,104
358822,NA
1707162,NA
1065693,NA
2151502,104
789966,NA
3117052,NA
1000674,NA
4895380,NA
3138831,104
2111320,NA
523514,NA
1104810,105
327042,NA
909869,NA
961125,2
2820107,NA
2559928,NA
790029,104
877804,NA
3115035,NA
362871,NA
3136090,NA
1576474,NA
527902,NA
4303520,NA
1980083,NA
790056,NA
4547006,NA
790059,NA
3115060,NA
790088,104
3112642,NA
3969637,NA
3115094,NA
527980,NA
829800,NA
4018695,102
3519384,104
4984430,NA
267382,NA
265844,NA
596729,NA
4219395,NA
4873728,NA
556428,NA
4433309,NA
528010,NA
1831662,NA
2887310,NA
2874099,104
4859153,NA
2586190,NA
4018714,102
1951441,NA
2299311,NA
2363045,NA
619027,NA
4722345,NA
3118480,NA
3125240,2
3115107,NA
4853277,NA
2526900,NA
1032394,NA
4018727,102
4752330,NA
3907750,105
2863954,NA
608717,NA
1816525,4
1003532,"2,102,104"
3149515,NA
4827576,NA
4841936,NA
5154761,NA
5226800,NA
265939,NA
4570954,NA
790230,NA
2645924,NA
265944,NA
3115129,NA
4668233,NA
799335,104
268050,104
265950,NA
790242,NA
826086,NA
4910658,NA
5048064,NA
3221583,2
4018750,102
1789515,NA
4567095,NA
242645,NA
242664,NA
